280323001,10,1
280323002,17,1
275212006,20,1
275212007,28,1
275212008,2,1
275214007,2,1
275214008,8,1
275214009,12,1
275214010,2,1
275216007,14,1
275216008,10,1
275216009,14,1
275216010,2,1
280412505,15,1
280412511,15,1
280414008,3,1
280414012,2,1
280414016,2,1
280422505,20,1
280422511,20,1
280424008,2,1
280424012,3,1
280424016,3,1
280432505,15,1
280432511,15,1
398510324,12,1
398511324,10,1
398512130,2,1
398512324,4,1
394325090,5,1
394325100,12,1
394325110,12,1
394325120,5,1
928700008,15,1
297400001,30,1
