280261306,5,1
280261307,11,1
280261308,8,1
280261306,5,1
280261407,11,1
280261408,8,1
280260503,4,1
280260505,4,1
280260603,4,1
280260605,4,1
280260513,2,1
280260515,2,1
280260613,2,1
280260615,2,1
280261504,4,1
280261505,8,1
280261506,8,1
280261604,4,1
280261605,8,1
280261606,8,1
280303004,9,1
280303006,20,1
280303008,20,1
280303010,12,1
280302105,7,1
280302107,3,1
280302205,7,1
280302207,3,1
280302305,8,1
280302307,9,1
280302309,2,1
280302405,8,1
280302407,9,1
280302409,2,1
280114305,100,0
280114405,100,0
280115305,15,0
280115405,15,0
280122704,21,2
280122706,11,2
280122804,21,2
280122806,11,2
280123105,6,2
280123106,10,2
280123107,1,2
280123205,6,2
280123206,10,2
280123207,1,2
280123003,12,1
280123004,8,1
