260851075,8,1
267527008,15,1
267527010,10,1
267527012,15,1
267527014,10,1
267527016,15,1
267527018,10,1
267527020,15,1
267527022,10,1
267527024,15,1
267527026,10,1
267527028,15,1
267527030,10,1
267527032,10,1
267535012,10,1
267535014,15,1
267535016,10,1
267535018,15,1
267535020,10,1
267535022,15,1
267535024,10,1
267535026,15,1
267535028,10,1
267535030,15,1
267535032,10,1
267535034,15,1
267535035,10,1
267535036,15,1
267535038,10,1
267535040,15,1
267535042,10,1
267535044,15,1
267535045,10,1
267535046,15,1
267535048,10,1
267535050,15,1
267551032,20,1
267551034,20,1
267551036,20,1
267551038,20,1
267551040,20,1
260815008,15,1
260815009,15,1
260815010,15,1
260815011,15,1
260815012,15,1
260815013,15,1
260815014,15,1
260815015,15,1
260815016,15,1
260820010,10,1
260820011,10,1
260820012,10,1
260820013,10,1
260820014,10,1
260820015,10,1
260820016,10,1
260827112,10,1
260827113,10,1
260827114,10,1
260827115,10,1
260827116,10,1
260827117,10,1
260827118,10,1
260827119,10,1
260827120,10,1
260827121,10,1
